Time_ps,Protein_RMSD
1340.0,1.1780796
1350.0,1.0585065
1360.0,1.0214343
1370.0,0.9614455
1380.0,1.0245501
1390.0,1.2175976
1400.0,0.97030985
1410.0,1.0194739
1420.0,1.021451
1430.0,1.1478438
1440.0,1.1049925
1450.0,1.1033342
1460.0,1.1304153
1470.0,1.1394383
1480.0,1.1067555
1490.0,1.1586347
1500.0,0.966616
1510.0,1.1598632
1520.0,1.1976902
1530.0,1.233053
1540.0,1.179101
1550.0,1.0862997
1560.0,1.038439
1570.0,1.1597171
1580.0,1.0053061
1590.0,0.9972972
1600.0,1.1398102
1610.0,0.9377893
1620.0,0.94510084
1630.0,0.95093095
1640.0,1.2024653
1650.0,1.1217431
1660.0,1.2762675
1670.0,1.4460397
1680.0,1.4243745
1690.0,1.3757668
1700.0,1.3311852
1710.0,1.4061778
1720.0,1.427834
1730.0,1.5771234
1740.0,1.4374788
1750.0,1.646999
1760.0,1.5888084
1770.0,1.7285861
1780.0,1.7091746
1790.0,1.7719245
1800.0,1.5656111
1810.0,1.3707418
1820.0,1.2956874
1830.0,1.2277617
1840.0,1.3338572
1850.0,1.4376793
1860.0,1.3127041
1870.0,1.2882994
1880.0,1.2034096
1890.0,1.2669077
1900.0,1.0999484
1910.0,1.2412208
1920.0,1.2895097
1930.0,1.2867719
1940.0,1.2526286
1950.0,1.1461143
1960.0,1.225578
1970.0,1.1861115
1980.0,1.2587988
1990.0,1.0754609
2000.0,1.2111195
2010.0,1.1811267
2020.0,1.1044706
2030.0,1.1049771
2040.0,1.2497152
2050.0,1.2283553
2060.0,1.361907
2070.0,1.3620439
2080.0,1.4098742
2090.0,1.1810118
2100.0,1.2258823
2110.0,1.0719239
2120.0,1.1272763
2130.0,1.1621559
2140.0,1.3469988
2150.0,1.2820994
2160.0,1.1969255
2170.0,1.1846383
2180.0,1.1721064
2190.0,1.3157743
2200.0,1.2503119
2210.0,1.2947712
2220.0,1.3527386
2230.0,1.2078394
2240.0,1.2984194
2250.0,1.1536194
2260.0,1.1442934
2270.0,1.0591149
2280.0,1.1714408
2290.0,1.0068228
2300.0,0.9144482
2310.0,0.9839133
2320.0,1.1057746
2330.0,0.9694358
2340.0,1.1226345
2350.0,1.0521768
2360.0,1.1513392
2370.0,1.0738044
2380.0,1.075587
2390.0,0.99721223
2400.0,1.0569355
2410.0,1.148656
2420.0,1.0084213
2430.0,0.94094783
2440.0,1.0400866
2450.0,1.153046
2460.0,1.1755152
2470.0,1.1671345
2480.0,1.0984058
2490.0,1.243827
2500.0,1.3285334
2510.0,1.3679314
2520.0,1.285137
2530.0,1.1925548
2540.0,1.2677639
2550.0,1.31061
2560.0,1.2966423
2570.0,1.1103039
2580.0,1.0982516
2590.0,1.0888095
2600.0,1.1288695
