Time_ps,RMSD_Å
1900.0,1.9176823
1910.0,2.0242288
1920.0,2.0193417
1930.0,2.01251
1940.0,2.0520954
1950.0,1.9744623
1960.0,2.0524664
1970.0,1.8939884
1980.0,2.0151062
1990.0,1.9461881
2000.0,2.0131235
2010.0,1.9239626
2020.0,1.903416
2030.0,1.9391947
2040.0,2.0518317
2050.0,1.9534336
2060.0,2.0870602
2070.0,2.002185
2080.0,2.0375497
2090.0,1.8081726
2100.0,1.9333316
2110.0,1.8142164
2120.0,1.9185469
2130.0,1.9095749
2140.0,2.1295521
2150.0,2.0554237
2160.0,1.9823897
2170.0,1.9637477
2180.0,1.9507207
2190.0,2.130696
2200.0,2.018009
2210.0,2.0684211
2220.0,2.070514
2230.0,1.95839
2240.0,1.9377458
2250.0,1.9446399
2260.0,1.8864698
2270.0,1.7632821
2280.0,1.829872
2290.0,1.8025779
2300.0,1.7174354
2310.0,1.7959391
2320.0,1.8472917
2330.0,1.8031032
2340.0,1.9127972
2350.0,1.8887465
2360.0,1.9757214
2370.0,1.9568691
2380.0,1.9524806
2390.0,1.8633144
2400.0,1.8553524
2410.0,1.9357541
2420.0,1.7702441
2430.0,1.7727368
2440.0,1.8034599
2450.0,1.7896729
2460.0,1.793422
2470.0,1.803413
2480.0,1.8486927
2490.0,1.964454
2500.0,1.9883465
2510.0,1.9917642
2520.0,1.9083785
2530.0,1.8345354
2540.0,1.901237
2550.0,1.905699
2560.0,1.9427512
2570.0,1.8175613
2580.0,1.7461483
2590.0,1.7178982
2600.0,1.756572
2610.0,1.86187
2620.0,1.9386363
2630.0,2.0436437
2640.0,1.8769209
2650.0,1.8281053
2660.0,1.9173999
2670.0,1.7855936
2680.0,1.7803175
2690.0,1.7542396
2700.0,1.7702057
2710.0,1.7536222
2720.0,1.8136475
2730.0,1.8211973
2740.0,1.8883343
2750.0,1.7910808
2760.0,1.7247591
2770.0,1.8153166
2780.0,1.6906977
2790.0,1.9317907
2800.0,1.849818
2810.0,1.8506227
2820.0,1.8067123
2830.0,1.9001689
2840.0,1.957794
2850.0,2.0682983
2860.0,2.1758752
2870.0,2.0225396
2880.0,2.2026687
2890.0,2.1960068
2900.0,2.0614402
2910.0,1.8762898
2920.0,1.9422548
2930.0,1.8312309
2940.0,1.8179334
2950.0,1.9159524
2960.0,1.8739619
