Time_ns,Protein_RMSD,Ligand_RMSD
2.95,1.0414388,0.23557124
2.96,1.0104033,0.29893234
2.97,1.0376387,0.15651079
2.98,1.086565,0.27519408
2.99,1.0421224,0.19217776
3.0,1.0503544,0.28541657
3.01,1.1368761,0.16265973
3.02,1.1114637,0.19350521
3.03,0.9907477,0.30656907
3.04,1.0866274,0.22981183
3.05,1.062168,0.19761188
3.06,1.1301004,0.2898923
3.07,1.0766584,0.37212536
3.08,1.1809257,0.21350792
3.09,1.1761208,0.14436167
3.1,1.116076,0.40963736
3.11,1.0605867,0.21388373
3.12,1.0451115,0.27003646
3.13,1.0988997,0.29621032
3.14,1.0380471,0.12119858
3.15,1.0261705,0.35092658
3.16,1.2329017,0.2582794
3.17,1.167178,0.33388925
3.18,1.2732086,0.278647
3.19,1.1386195,0.23737806
3.2,1.2283968,0.12823653
3.21,1.2964592,0.18296921
3.22,1.3617077,0.22459261
3.23,1.4190798,0.24306403
3.24,1.4459575,0.16306809
3.25,1.5597306,0.18641052
3.26,1.3752366,0.32696813
3.27,1.3880843,0.24316469
3.28,1.5649829,0.407986
3.29,1.2414393,0.21796627
3.3,1.2813056,0.30053577
3.31,1.1587664,0.14376938
3.32,1.1296952,0.42878124
3.33,1.0352995,0.15584391
3.34,1.0156751,0.16037172
3.35,0.93999237,0.22912008
3.36,0.9978071,0.20585679
3.37,1.0492723,0.27494547
3.38,1.0168095,0.29809582
3.39,1.2549138,0.20146683
3.4,1.2053664,0.18300009
3.41,1.200405,0.26056492
3.42,1.1588249,0.27557912
3.43,1.2846093,0.37958878
3.44,1.1745774,0.26146632
3.45,1.1050231,0.59101355
3.46,0.9483601,0.36177582
3.47,0.9174653,0.31735316
3.48,1.0111413,0.23591189
3.49,0.977881,0.3604989
3.5,1.1539867,0.3733037
3.51,1.2240969,0.17800513
3.52,1.2434726,0.23071647
3.53,1.1222115,0.31793386
3.54,1.0313289,0.31291932
3.55,1.189651,0.3523273
3.56,1.1958202,0.19251701
3.57,1.0443811,0.25538456
3.58,0.9557327,0.12174607
3.59,1.0840342,0.26114938
3.6,1.1313598,0.22362676
3.61,1.1247016,0.21908602
3.62,1.0669618,0.21948658
3.63,1.1857255,0.37847143
3.64,1.0303915,0.26620346
3.65,1.2202126,0.22865957
3.66,1.0776815,0.19457869
3.67,1.0329058,0.3123976
3.68,1.075855,0.3938657
3.69,1.075587,0.30749273
3.7,1.0616252,0.28065947
3.71,1.0332177,0.25538456
3.72,1.1652737,0.22693539
3.73,1.2342212,0.2840901
3.74,1.1378152,0.19157283
3.75,0.9719858,0.22393516
3.76,0.9496821,0.2470123
3.77,1.036167,0.16553497
3.78,1.01969,0.3389193
3.79,0.9182966,0.27499565
3.8,1.0938431,0.34794062
3.81,1.1227856,0.28160128
3.82,1.0068396,0.14308259
3.83,1.1797335,0.43594405
3.84,1.2503933,0.30278826
3.85,1.3763704,0.5117558
3.86,1.3637854,0.37687993
3.87,1.4244101,0.16767399
3.88,1.3482946,0.2876304
3.89,1.1595708,0.2202029
3.9,1.0777916,0.19189024
